epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2256.25,1.8022,1.43395,1.37567,0.79442,0.69746,0.77361,0.32835,1.91442,1.19128,1.46284,0.005842,0.005842,0.005842
44,2308.69,1.79388,1.44042,1.37354,0.74801,0.70158,0.76369,0.31966,1.92593,1.19995,1.4755,0.005743,0.005743,0.005743
45,2361.23,1.79689,1.42445,1.38259,0.77736,0.6996,0.78221,0.32895,1.92423,1.1862,1.47734,0.005644,0.005644,0.005644
46,2413.71,1.78649,1.41261,1.36496,0.78324,0.69741,0.77853,0.33293,1.90925,1.20262,1.47195,0.005545,0.005545,0.005545
47,2466.13,1.79529,1.4239,1.37628,0.7965,0.69321,0.76833,0.31785,1.94257,1.19818,1.48477,0.005446,0.005446,0.005446
48,2518.63,1.78852,1.39952,1.37032,0.8052,0.73268,0.79063,0.33668,1.90886,1.17362,1.46394,0.005347,0.005347,0.005347
49,2571.1,1.78335,1.39942,1.36239,0.78931,0.71953,0.78796,0.33684,1.90893,1.16949,1.46152,0.005248,0.005248,0.005248
50,2623.58,1.77668,1.38669,1.36657,0.81758,0.72466,0.79136,0.33823,1.90693,1.16226,1.46329,0.005149,0.005149,0.005149
51,2676.15,1.79503,1.39417,1.36824,0.81246,0.71207,0.78609,0.33338,1.91886,1.1819,1.46787,0.00505,0.00505,0.00505
52,2728.61,1.78263,1.36755,1.36544,0.76829,0.73474,0.78728,0.33912,1.90756,1.15753,1.46162,0.004951,0.004951,0.004951
53,2781.11,1.77891,1.3824,1.36456,0.80209,0.73631,0.79938,0.34315,1.90955,1.13803,1.45971,0.004852,0.004852,0.004852
54,2833.7,1.76512,1.3628,1.36166,0.82881,0.74454,0.80311,0.34176,1.92179,1.1238,1.47038,0.004753,0.004753,0.004753
55,2886.21,1.77537,1.34186,1.36328,0.79203,0.75253,0.80796,0.34676,1.91291,1.11992,1.46486,0.004654,0.004654,0.004654
56,2938.84,1.76589,1.35369,1.35014,0.81231,0.72561,0.79705,0.33988,1.90129,1.14932,1.45434,0.004555,0.004555,0.004555
57,2991.29,1.77325,1.35419,1.35923,0.8358,0.75512,0.8142,0.35403,1.90057,1.12301,1.45707,0.004456,0.004456,0.004456
58,3043.83,1.75708,1.31536,1.35047,0.82746,0.75406,0.80442,0.34284,1.92439,1.12012,1.46362,0.004357,0.004357,0.004357
59,3096.45,1.76273,1.32508,1.35462,0.8223,0.75718,0.81031,0.35291,1.89831,1.11099,1.45445,0.004258,0.004258,0.004258
60,3149.04,1.75617,1.34273,1.34845,0.81189,0.77198,0.81314,0.35019,1.89794,1.12936,1.45645,0.004159,0.004159,0.004159
61,3201.6,1.74982,1.31452,1.34348,0.84209,0.75155,0.81928,0.35272,1.89792,1.11949,1.45412,0.00406,0.00406,0.00406
62,3254.22,1.7447,1.31723,1.3472,0.82815,0.74053,0.81051,0.35124,1.89983,1.11559,1.45683,0.003961,0.003961,0.003961
63,3306.73,1.7576,1.31653,1.34379,0.81713,0.76522,0.81575,0.3542,1.88901,1.1193,1.44918,0.003862,0.003862,0.003862
