                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73835,                0.48614,                0.90756,                0.78292,                0.69134,                0.74299,                0.30696,                 2.0031,                 1.1626,                 1.5383,             0.00073704,             0.00073704,             0.00073704
                     36,                 0.7341,                0.47916,                0.90841,                0.80471,                 0.6989,                0.75972,                0.31304,                 1.9966,                 1.1473,                 1.5197,             0.00072604,             0.00072604,             0.00072604
                     37,                0.73787,                0.48843,                 0.9131,                0.77717,                0.69913,                0.74228,                0.30707,                 2.0025,                  1.157,                 1.5263,             0.00071504,             0.00071504,             0.00071504
                     38,                0.73693,                 0.4881,                0.91385,                0.77789,                0.69795,                0.75707,                0.31523,                 1.9869,                 1.1292,                 1.5258,             0.00070404,             0.00070404,             0.00070404
                     39,                0.73449,                0.48313,                0.91328,                0.81341,                0.68469,                0.75867,                0.31262,                 2.0008,                 1.1419,                 1.5265,             0.00069304,             0.00069304,             0.00069304
                     40,                0.72708,                0.47246,                0.91079,                 0.8137,                0.69593,                0.76609,                0.32197,                  1.969,                 1.1322,                 1.5022,             0.00068204,             0.00068204,             0.00068204
                     41,                0.72143,                0.47084,                0.91121,                0.78058,                0.70174,                0.75145,                0.31772,                 1.9766,                  1.142,                 1.5081,             0.00067104,             0.00067104,             0.00067104
                     42,                0.70526,                0.46324,                0.90256,                0.82658,                0.68482,                0.76344,                 0.3172,                 1.9765,                 1.1164,                   1.51,             0.00066005,             0.00066005,             0.00066005
                     43,                0.70112,                0.46875,                0.90296,                 0.7856,                0.69022,                0.74375,                0.31154,                 1.9799,                  1.143,                 1.5215,             0.00064905,             0.00064905,             0.00064905
                     44,                0.68486,                 0.4443,                0.90088,                0.81622,                0.71732,                0.77023,                0.32082,                 1.9934,                 1.1007,                 1.5261,             0.00063805,             0.00063805,             0.00063805
                     45,                0.69127,                0.44842,                0.90248,                0.79148,                0.72353,                0.75581,                0.31512,                 1.9858,                 1.1207,                 1.5193,             0.00062705,             0.00062705,             0.00062705
                     46,                0.69089,                0.44644,                0.90495,                0.79681,                0.71677,                0.76269,                0.32057,                 1.9851,                    1.1,                 1.5313,             0.00061605,             0.00061605,             0.00061605
                     47,                0.68013,                0.44512,                0.89945,                0.80535,                0.72149,                0.77134,                0.32823,                   1.95,                 1.1067,                 1.5055,             0.00060505,             0.00060505,             0.00060505
                     48,                0.67112,                0.43935,                0.89678,                0.80524,                0.71443,                0.76998,                0.32422,                 1.9802,                 1.1025,                 1.5167,             0.00059405,             0.00059405,             0.00059405
                     49,                0.68107,                0.43945,                0.90276,                0.81787,                0.71128,                0.77028,                0.32772,                 1.9722,                  1.094,                 1.5126,             0.00058305,             0.00058305,             0.00058305
                     50,                0.66185,                0.43212,                0.89792,                0.82716,                0.71353,                0.78101,                0.33382,                 1.9554,                  1.084,                  1.498,             0.00057205,             0.00057205,             0.00057205
                     51,                0.65864,                0.43104,                0.89014,                0.79608,                0.72452,                0.77499,                0.32375,                 1.9764,                 1.0888,                 1.5149,             0.00056105,             0.00056105,             0.00056105
                     52,                0.65758,                0.42411,                0.89394,                0.84133,                 0.7027,                0.77927,                0.32485,                 1.9912,                 1.0993,                 1.5161,             0.00055006,             0.00055006,             0.00055006
                     53,                0.65223,                0.42348,                0.89724,                0.82165,                0.75076,                0.78672,                0.32758,                 1.9668,                 1.0697,                 1.5062,             0.00053906,             0.00053906,             0.00053906
                     54,                0.64769,                0.41781,                0.89343,                0.79958,                0.73726,                0.78269,                0.33631,                 1.9314,                 1.0796,                 1.4875,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.6424,                0.41647,                0.89293,                0.82196,                0.72921,                0.78713,                0.33521,                 1.9567,                 1.0534,                 1.4975,             0.00051706,             0.00051706,             0.00051706
                     56,                 0.6421,                0.41374,                 0.8908,                0.81738,                0.74497,                 0.7892,                0.33578,                 1.9441,                 1.0508,                 1.4944,             0.00050606,             0.00050606,             0.00050606
                     57,                0.62976,                0.41067,                0.89302,                 0.8061,                0.74314,                0.79584,                0.33749,                 1.9456,                 1.0559,                 1.4875,             0.00049506,             0.00049506,             0.00049506
                     58,                0.64283,                0.41889,                 0.8954,                0.80917,                0.72732,                 0.7839,                0.33388,                 1.9493,                 1.0829,                 1.4852,             0.00048406,             0.00048406,             0.00048406
                     59,                0.63051,                0.40009,                0.88887,                0.83287,                0.72813,                0.78329,                 0.3336,                  1.962,                 1.0658,                 1.5017,             0.00047306,             0.00047306,             0.00047306
                     60,                0.63232,                0.40992,                0.89384,                0.80122,                0.73667,                 0.7839,                 0.3342,                 1.9652,                 1.0742,                 1.5052,             0.00046206,             0.00046206,             0.00046206
                     61,                0.62048,                0.40251,                0.88981,                0.81903,                 0.7471,                0.79987,                0.34232,                 1.9425,                 1.0471,                 1.4893,             0.00045107,             0.00045107,             0.00045107
                     62,                0.61622,                0.40106,                0.88689,                0.83273,                0.75667,                0.80428,                0.33876,                 1.9704,                 1.0362,                 1.5057,             0.00044007,             0.00044007,             0.00044007
                     63,                0.60402,                0.39353,                0.88494,                0.82035,                 0.7489,                0.78666,                0.33647,                 1.9552,                  1.046,                 1.4986,             0.00042907,             0.00042907,             0.00042907
                     64,                0.60543,                0.39249,                0.88464,                0.82071,                0.74228,                0.79897,                 0.3424,                 1.9441,                 1.0356,                 1.4905,             0.00041807,             0.00041807,             0.00041807
                     65,                0.60324,                0.38986,                0.88708,                0.81975,                0.73603,                0.79795,                0.34508,                  1.942,                 1.0383,                 1.4907,             0.00040707,             0.00040707,             0.00040707
                     66,                0.59775,                0.38715,                0.88243,                0.82227,                0.75055,                0.80281,                0.34597,                 1.9632,                 1.0351,                 1.5018,             0.00039607,             0.00039607,             0.00039607
                     67,                0.60635,                  0.388,                0.89035,                0.83462,                0.75424,                0.80637,                0.34388,                 1.9496,                 1.0217,                 1.4901,             0.00038507,             0.00038507,             0.00038507
                     68,                0.59747,                0.38411,                0.87942,                 0.8367,                0.75814,                0.81163,                0.34471,                 1.9507,                 1.0204,                 1.4932,             0.00037407,             0.00037407,             0.00037407
                     69,                0.58256,                0.37229,                0.88404,                0.83365,                0.75945,                0.80785,                0.34944,                 1.9531,                 1.0148,                 1.4938,             0.00036307,             0.00036307,             0.00036307
                     70,                0.59654,                0.38099,                 0.8875,                0.85162,                0.75193,                0.81298,                0.34605,                 1.9587,                 1.0103,                 1.4975,             0.00035208,             0.00035208,             0.00035208
                     71,                 0.5907,                0.37791,                0.88445,                0.83438,                0.76282,                0.81122,                0.34286,                 1.9619,                 1.0066,                 1.4992,             0.00034108,             0.00034108,             0.00034108
                     72,                0.58262,                0.37315,                0.88031,                0.82185,                0.77269,                0.81407,                0.34935,                 1.9408,                0.99486,                 1.4857,             0.00033008,             0.00033008,             0.00033008
                     73,                0.57877,                 0.3708,                0.88245,                0.83358,                0.76517,                0.80912,                 0.3482,                  1.935,                0.99225,                 1.4874,             0.00031908,             0.00031908,             0.00031908
                     74,                0.56427,                0.35529,                0.87742,                0.84789,                0.75056,                0.80327,                0.34446,                 1.9443,                0.99026,                 1.4942,             0.00030808,             0.00030808,             0.00030808
                     75,                0.56939,                 0.3614,                0.87831,                0.83722,                0.76596,                0.81514,                0.35252,                 1.9341,                0.99085,                 1.4871,             0.00029708,             0.00029708,             0.00029708
                     76,                0.56254,                0.35722,                0.87757,                 0.8557,                0.75727,                0.81285,                0.35491,                 1.9264,                0.99596,                   1.48,             0.00028608,             0.00028608,             0.00028608
                     77,                0.57239,                0.36477,                0.88359,                0.82087,                0.77511,                0.81456,                0.35297,                 1.9356,                0.99054,                 1.4825,             0.00027508,             0.00027508,             0.00027508
                     78,                0.56007,                 0.3526,                0.87501,                0.83774,                0.76524,                 0.8097,                0.34923,                 1.9496,                0.99309,                 1.4925,             0.00026408,             0.00026408,             0.00026408
                     79,                0.55335,                0.34917,                0.87496,                0.82844,                0.77698,                 0.8163,                0.35162,                 1.9386,                0.98737,                  1.487,             0.00025309,             0.00025309,             0.00025309
                     80,                0.54304,                 0.3472,                0.87476,                0.83212,                0.77062,                0.80926,                0.34968,                 1.9505,                0.99209,                 1.4917,             0.00024209,             0.00024209,             0.00024209
                     81,                0.55893,                0.35442,                0.87888,                0.83726,                0.77621,                0.81616,                0.35098,                 1.9577,                  0.984,                 1.4926,             0.00023109,             0.00023109,             0.00023109
                     82,                0.54463,                0.34488,                0.87496,                0.83276,                0.77685,                0.81584,                0.35052,                 1.9493,                0.98543,                 1.4862,             0.00022009,             0.00022009,             0.00022009
                     83,                0.53563,                 0.3358,                 0.8707,                0.84406,                0.78116,                0.82222,                0.35718,                 1.9476,                  0.981,                 1.4899,             0.00020909,             0.00020909,             0.00020909
                     84,                0.53348,                0.33837,                0.87219,                0.84722,                0.77849,                0.81574,                0.35181,                 1.9446,                0.98417,                 1.4891,             0.00019809,             0.00019809,             0.00019809
                     85,                0.54063,                0.34324,                0.87497,                 0.8516,                0.77894,                0.81677,                0.35399,                 1.9406,                0.97458,                 1.4877,             0.00018709,             0.00018709,             0.00018709
                     86,                0.52989,                0.33627,                0.87328,                0.84186,                0.77239,                0.81297,                0.35439,                 1.9501,                0.97461,                 1.4912,             0.00017609,             0.00017609,             0.00017609
                     87,                0.53157,                0.33822,                0.87421,                0.84636,                0.77765,                0.81729,                 0.3534,                 1.9587,                0.97619,                 1.4948,             0.00016509,             0.00016509,             0.00016509
                     88,                0.53042,                 0.3303,                0.87323,                0.85448,                 0.7754,                0.82381,                0.35435,                  1.949,                0.96813,                 1.4906,              0.0001541,              0.0001541,              0.0001541
                     89,                0.52683,                0.32635,                0.86691,                0.84614,                0.78357,                0.82391,                0.35763,                 1.9444,                0.96491,                  1.487,              0.0001431,              0.0001431,              0.0001431
                     90,                0.52378,                0.33257,                0.86931,                0.85394,                 0.7734,                0.81928,                0.36122,                  1.935,                0.96347,                 1.4833,              0.0001321,              0.0001321,              0.0001321
                     91,                 1.6725,                0.84465,                  1.357,                0.86597,                0.77406,                0.81974,                0.35889,                 1.9326,                0.96054,                 1.4771,              0.0001211,              0.0001211,              0.0001211
                     92,                 1.6436,                0.82157,                 1.3423,                0.87059,                0.77507,                0.82568,                0.36152,                 1.9353,                0.95157,                 1.4756,              0.0001101,              0.0001101,              0.0001101
                     93,                 1.6361,                0.80326,                 1.3401,                0.86295,                 0.7786,                0.82818,                0.36018,                 1.9403,                0.94156,                 1.4785,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 1.6247,                0.79143,                 1.3283,                0.86221,                0.78628,                0.82732,                0.36018,                 1.9527,                0.93818,                 1.4845,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 1.6064,                0.77831,                 1.3273,                0.85404,                0.79596,                 0.8302,                0.36072,                 1.9529,                0.92722,                 1.4833,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                 1.5969,                 0.7708,                 1.3224,                0.84963,                0.79828,                0.82833,                 0.3617,                 1.9569,                0.92525,                 1.4865,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 1.5832,                0.76174,                 1.3136,                0.85884,                0.78726,                0.82416,                0.36085,                 1.9559,                0.92374,                 1.4869,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 1.5744,                0.74906,                 1.3092,                0.86784,                0.78444,                0.82806,                0.35967,                 1.9605,                  0.921,                 1.4906,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 1.5653,                0.74354,                 1.2983,                0.87026,                0.78755,                0.82911,                0.36006,                 1.9583,                0.91983,                 1.4901,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                 1.5612,                0.74058,                 1.2964,                0.86828,                0.79081,                0.82928,                 0.3606,                 1.9608,                0.91782,                 1.4914,             2.2109e-05,             2.2109e-05,             2.2109e-05
