epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.779,1.87095,5.19006,2.05219,0.27172,0.23197,0.20491,0.07293,1.65024,4.58668,2.01289,0.00338595,0.00338595,0.00338595
2,247.553,1.67565,3.5098,1.83636,0.452,0.48715,0.46471,0.18598,1.57739,3.31575,1.91403,0.00671328,0.00671328,0.00671328
3,371.003,1.67367,2.79313,1.87132,0.52336,0.49085,0.50449,0.19926,1.62489,2.27065,2.0747,0.00980377,0.00980377,0.00980377
4,494.427,1.68521,2.39364,1.94457,0.48356,0.52394,0.51903,0.21391,1.60172,1.98916,2.02458,0.00970566,0.00970566,0.00970566
5,617.935,1.67729,2.16985,1.94437,0.57416,0.53408,0.54454,0.21933,1.64035,1.88996,2.06225,0.00960755,0.00960755,0.00960755
6,741.387,1.64671,1.98991,1.92136,0.57224,0.5603,0.54087,0.20463,1.69823,1.86239,2.16517,0.00950944,0.00950944,0.00950944
7,864.94,1.63755,1.93557,1.91984,0.59081,0.59563,0.60557,0.24734,1.55434,1.70624,1.99083,0.00941132,0.00941132,0.00941132
8,988.419,1.61726,1.8385,1.91067,0.57746,0.57051,0.57107,0.24261,1.6064,1.79132,2.05774,0.00931321,0.00931321,0.00931321
9,1111.97,1.59199,1.7622,1.8731,0.66,0.64838,0.68122,0.29414,1.52505,1.49628,1.94929,0.0092151,0.0092151,0.0092151
10,1235.53,1.58025,1.72206,1.86647,0.61173,0.66296,0.64389,0.27902,1.50967,1.51609,1.9637,0.00911698,0.00911698,0.00911698
11,1359.06,1.58287,1.69567,1.8626,0.71709,0.65841,0.7063,0.30945,1.51999,1.42246,1.95649,0.00901887,0.00901887,0.00901887
12,1482.65,1.55932,1.66792,1.83723,0.71765,0.6506,0.72296,0.31372,1.49146,1.42945,1.91727,0.00892076,0.00892076,0.00892076
13,1606.43,1.55614,1.61078,1.83981,0.72728,0.68056,0.73853,0.32368,1.49777,1.38757,1.9442,0.00882264,0.00882264,0.00882264
14,1730.43,1.546,1.59981,1.82461,0.74899,0.71252,0.75775,0.32803,1.48513,1.35299,1.91607,0.00872453,0.00872453,0.00872453
15,1854.47,1.53915,1.57769,1.81427,0.67613,0.66695,0.69785,0.30841,1.53796,1.39136,1.98262,0.00862642,0.00862642,0.00862642
16,1978.45,1.53156,1.55154,1.81614,0.7511,0.7271,0.78019,0.3467,1.47996,1.30304,1.89605,0.0085283,0.0085283,0.0085283
17,2102.47,1.54094,1.5286,1.80918,0.75067,0.72078,0.75703,0.32203,1.53638,1.30084,1.96782,0.00843019,0.00843019,0.00843019
18,2226.49,1.52618,1.49339,1.81053,0.77257,0.74717,0.79599,0.34553,1.49244,1.24276,1.91392,0.00833208,0.00833208,0.00833208
19,2350.5,1.52218,1.47997,1.79331,0.78889,0.75356,0.80319,0.3551,1.48929,1.19823,1.90941,0.00823397,0.00823397,0.00823397
20,2474.57,1.52366,1.45839,1.80276,0.76811,0.72218,0.78248,0.34024,1.48143,1.27211,1.88114,0.00813585,0.00813585,0.00813585
21,2598.55,1.50961,1.44342,1.78132,0.82333,0.72962,0.80782,0.35896,1.46859,1.22789,1.88362,0.00803774,0.00803774,0.00803774
22,2722.53,1.52115,1.45425,1.8019,0.75904,0.71322,0.76374,0.34121,1.49159,1.25955,1.91726,0.00793963,0.00793963,0.00793963
23,2846.48,1.49848,1.42966,1.7764,0.80944,0.76263,0.82839,0.36873,1.48375,1.16162,1.88111,0.00784151,0.00784151,0.00784151
24,2970.49,1.50427,1.41187,1.78792,0.78246,0.75686,0.81687,0.36678,1.48649,1.16943,1.8931,0.0077434,0.0077434,0.0077434
25,3094.49,1.48956,1.38878,1.7707,0.81573,0.77213,0.83267,0.37325,1.46554,1.16154,1.89689,0.00764529,0.00764529,0.00764529
26,3218.48,1.48819,1.38124,1.76826,0.80089,0.73801,0.81659,0.36968,1.46442,1.17142,1.87399,0.00754718,0.00754718,0.00754718
27,3342.53,1.49896,1.38821,1.75892,0.78122,0.76253,0.81604,0.36915,1.45707,1.16278,1.87402,0.00744906,0.00744906,0.00744906
28,3466.51,1.48493,1.34406,1.76358,0.74154,0.68581,0.73673,0.31818,1.56429,1.27608,1.99307,0.00735095,0.00735095,0.00735095
29,3590.54,1.48221,1.3441,1.75526,0.8076,0.74071,0.8083,0.36602,1.47574,1.17896,1.90633,0.00725284,0.00725284,0.00725284
30,3714.58,1.4781,1.34437,1.74187,0.81534,0.7726,0.81606,0.3674,1.46212,1.35764,1.88581,0.00715472,0.00715472,0.00715472
31,3838.55,1.477,1.3311,1.74659,0.82847,0.77379,0.84306,0.38676,1.44827,1.123,1.86842,0.00705661,0.00705661,0.00705661
32,3962.56,1.4779,1.31743,1.74967,0.79629,0.75604,0.80421,0.36198,1.4823,1.19761,1.90199,0.0069585,0.0069585,0.0069585
33,4086.56,1.46526,1.30716,1.74342,0.8371,0.78757,0.84683,0.38695,1.44525,1.11515,1.86677,0.00686038,0.00686038,0.00686038
34,4210.53,1.45614,1.29464,1.73067,0.82532,0.80268,0.84682,0.38552,1.46111,1.09095,1.86159,0.00676227,0.00676227,0.00676227
35,4334.57,1.45887,1.28814,1.73405,0.75464,0.69826,0.75611,0.32452,1.56224,1.27023,1.98027,0.00666416,0.00666416,0.00666416
36,4458.49,1.45812,1.27626,1.71613,0.85277,0.79884,0.85152,0.38732,1.45649,1.08161,1.8515,0.00656605,0.00656605,0.00656605
37,4582.46,1.46399,1.26843,1.72951,0.82824,0.8019,0.85094,0.38876,1.44989,1.08344,1.85465,0.00646793,0.00646793,0.00646793
38,4706.39,1.462,1.27117,1.73033,0.83277,0.75644,0.82202,0.37542,1.45714,1.15198,1.87864,0.00636982,0.00636982,0.00636982
39,4830.42,1.45176,1.27227,1.73101,0.85056,0.81597,0.87246,0.39685,1.46743,1.06382,1.87264,0.00627171,0.00627171,0.00627171
40,4954.41,1.45311,1.23474,1.72632,0.85377,0.81965,0.86642,0.40436,1.4512,1.07535,1.85672,0.00617359,0.00617359,0.00617359
41,5078.38,1.44747,1.2457,1.70784,0.84446,0.80669,0.86625,0.39985,1.44119,1.06769,1.84731,0.00607548,0.00607548,0.00607548
42,5202.31,1.43879,1.22443,1.70727,0.85061,0.80607,0.86179,0.3979,1.44761,1.05477,1.85634,0.00597737,0.00597737,0.00597737
43,5326.24,1.43912,1.22403,1.69826,0.84802,0.82422,0.86711,0.39927,1.44468,1.03952,1.85099,0.00587925,0.00587925,0.00587925
44,5450.2,1.44026,1.23079,1.70776,0.84294,0.81898,0.86273,0.40179,1.44172,1.03805,1.83768,0.00578114,0.00578114,0.00578114
45,5574.13,1.44752,1.22467,1.71284,0.85544,0.81329,0.86445,0.404,1.44605,1.01767,1.84591,0.00568303,0.00568303,0.00568303
46,5698.05,1.43265,1.20345,1.69889,0.86886,0.82017,0.87505,0.40825,1.44842,1.0216,1.85725,0.00558492,0.00558492,0.00558492
47,5821.98,1.42513,1.20255,1.69547,0.86409,0.84425,0.88395,0.4029,1.46639,1.00788,1.85724,0.0054868,0.0054868,0.0054868
48,5945.89,1.43031,1.19744,1.69873,0.87184,0.83452,0.88098,0.41003,1.44686,1.01521,1.84085,0.00538869,0.00538869,0.00538869
49,6069.83,1.41549,1.1766,1.69061,0.86627,0.83817,0.88822,0.41506,1.4567,0.97326,1.85231,0.00529058,0.00529058,0.00529058
50,6193.76,1.41144,1.17477,1.69197,0.86624,0.83641,0.87776,0.40579,1.45706,0.98043,1.86624,0.00519246,0.00519246,0.00519246
51,6317.68,1.43021,1.18819,1.69664,0.87584,0.82816,0.88059,0.41105,1.4483,0.9998,1.84868,0.00509435,0.00509435,0.00509435
52,6441.69,1.42544,1.17583,1.6903,0.8751,0.8495,0.89687,0.41601,1.44279,0.98435,1.84018,0.00499624,0.00499624,0.00499624
53,6565.69,1.41341,1.15951,1.67569,0.8746,0.83225,0.87952,0.41458,1.4546,0.98124,1.84179,0.00489812,0.00489812,0.00489812
54,6689.59,1.40164,1.15419,1.66994,0.87873,0.83189,0.88487,0.41208,1.46019,0.98477,1.84821,0.00480001,0.00480001,0.00480001
55,6813.53,1.40748,1.13915,1.6786,0.86642,0.83294,0.88411,0.41479,1.44994,0.97782,1.8546,0.0047019,0.0047019,0.0047019
56,6937.47,1.39733,1.13438,1.66678,0.88511,0.84079,0.8843,0.41408,1.4455,0.97839,1.84777,0.00460378,0.00460378,0.00460378
57,7061.42,1.40444,1.14233,1.67366,0.87641,0.8492,0.8865,0.41599,1.44528,0.97402,1.83965,0.00450567,0.00450567,0.00450567
58,7185.38,1.39886,1.11504,1.66994,0.87481,0.84862,0.89345,0.41831,1.46151,0.95084,1.86017,0.00440756,0.00440756,0.00440756
59,7309.34,1.38906,1.11664,1.66765,0.88642,0.8457,0.89141,0.41275,1.45853,0.95256,1.85778,0.00430945,0.00430945,0.00430945
60,7433.24,1.38492,1.12617,1.65098,0.8937,0.86054,0.90457,0.42315,1.45857,0.93511,1.85065,0.00421133,0.00421133,0.00421133
61,7557.2,1.38582,1.10196,1.64642,0.86686,0.85383,0.89036,0.41448,1.46387,0.94938,1.84949,0.00411322,0.00411322,0.00411322
62,7681.1,1.3861,1.09536,1.65827,0.87799,0.85633,0.89392,0.41644,1.46066,0.94371,1.85231,0.00401511,0.00401511,0.00401511
63,7805.03,1.39026,1.08698,1.65799,0.87458,0.85189,0.89379,0.41728,1.45166,0.93697,1.84877,0.00391699,0.00391699,0.00391699
64,7928.97,1.38344,1.08244,1.65808,0.87846,0.85078,0.89519,0.41901,1.45249,0.93414,1.85586,0.00381888,0.00381888,0.00381888
65,8052.91,1.37679,1.08999,1.64996,0.88674,0.84531,0.89642,0.4179,1.45583,0.93863,1.85153,0.00372077,0.00372077,0.00372077
66,8176.83,1.36771,1.07532,1.64135,0.89221,0.85528,0.89658,0.41782,1.46357,0.92968,1.85651,0.00362265,0.00362265,0.00362265
67,8300.84,1.36646,1.06068,1.63252,0.88228,0.84332,0.88856,0.42053,1.45561,0.93287,1.85455,0.00352454,0.00352454,0.00352454
68,8424.7,1.36812,1.04315,1.64709,0.88836,0.85422,0.90057,0.42152,1.46216,0.9269,1.85725,0.00342643,0.00342643,0.00342643
69,8548.63,1.36899,1.05364,1.64178,0.88448,0.84654,0.89867,0.42059,1.46564,0.91372,1.85923,0.00332832,0.00332832,0.00332832
70,8672.5,1.36449,1.02811,1.63576,0.89322,0.86166,0.91048,0.42382,1.46168,0.904,1.85277,0.0032302,0.0032302,0.0032302
71,8796.4,1.3601,1.03786,1.63478,0.89269,0.86193,0.90741,0.4232,1.46819,0.90576,1.8628,0.00313209,0.00313209,0.00313209
72,8920.26,1.35445,1.03529,1.63093,0.89045,0.85564,0.90291,0.42061,1.47042,0.90537,1.86552,0.00303398,0.00303398,0.00303398
73,9044.16,1.34719,1.01814,1.62059,0.88085,0.85397,0.89933,0.41904,1.46192,0.92599,1.86192,0.00293586,0.00293586,0.00293586
74,9168.01,1.35282,1.01929,1.6248,0.88647,0.85727,0.89764,0.41756,1.46766,0.92093,1.86792,0.00283775,0.00283775,0.00283775
75,9291.9,1.3571,1.01852,1.63082,0.88042,0.85953,0.89975,0.41964,1.4698,0.90321,1.8639,0.00273964,0.00273964,0.00273964
76,9415.78,1.34098,1.00693,1.61399,0.89455,0.85918,0.90412,0.41581,1.47721,0.90626,1.87185,0.00264153,0.00264153,0.00264153
77,9539.68,1.33705,1.00159,1.62083,0.89082,0.8608,0.9049,0.41998,1.47861,0.90439,1.87516,0.00254341,0.00254341,0.00254341
78,9663.56,1.33622,0.99904,1.60789,0.8835,0.86588,0.9042,0.4183,1.47994,0.9079,1.87566,0.0024453,0.0024453,0.0024453
79,9787.44,1.32427,0.99409,1.6099,0.87969,0.85946,0.90422,0.41758,1.47487,0.90512,1.87933,0.00234719,0.00234719,0.00234719
80,9911.3,1.32896,0.97553,1.60771,0.88338,0.86834,0.90112,0.41781,1.48,0.90195,1.88181,0.00224907,0.00224907,0.00224907
81,10035.2,1.32437,0.98156,1.59859,0.88315,0.858,0.89872,0.41716,1.48797,0.90072,1.88545,0.00215096,0.00215096,0.00215096
82,10159,1.31111,0.97025,1.58614,0.89169,0.86277,0.9042,0.42054,1.48168,0.89916,1.8792,0.00205285,0.00205285,0.00205285
83,10282.9,1.31257,0.97082,1.58469,0.89303,0.86163,0.90599,0.41894,1.48405,0.89537,1.88147,0.00195473,0.00195473,0.00195473
84,10406.7,1.30736,0.95167,1.58264,0.89287,0.86983,0.90804,0.42148,1.48651,0.89078,1.883,0.00185662,0.00185662,0.00185662
85,10530.6,1.29848,0.95286,1.58201,0.89174,0.868,0.90283,0.4187,1.48704,0.89491,1.88218,0.00175851,0.00175851,0.00175851
86,10654.5,1.29823,0.94918,1.58153,0.89002,0.86172,0.89826,0.41807,1.48611,0.88392,1.88324,0.0016604,0.0016604,0.0016604
87,10778.4,1.29511,0.95681,1.57075,0.88713,0.86849,0.90472,0.41723,1.48749,0.88144,1.88918,0.00156228,0.00156228,0.00156228
