epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.892,2.45151,3.67175,1.79488,0.37248,0.43606,0.37016,0.13408,2.15546,2.09706,1.62839,0.00332558,0.00332558,0.00332558
2,221.826,2.01989,2.22104,1.49951,0.36878,0.3479,0.26864,0.08033,2.46114,2.24121,1.8108,0.00659299,0.00659299,0.00659299
3,332.955,2.0324,2.20274,1.50194,0.38686,0.4487,0.38228,0.13399,2.14107,2.13145,1.67957,0.0097944,0.0097944,0.0097944
4,444.025,2.07249,2.25,1.55215,0.36952,0.42363,0.38112,0.13434,2.38865,2.01305,1.8101,0.009703,0.009703,0.009703
5,555.224,2.05393,2.09584,1.54922,0.46841,0.45081,0.42269,0.15789,2.13753,1.84413,1.64993,0.009604,0.009604,0.009604
6,666.416,1.99933,1.97936,1.5109,0.51618,0.50375,0.47078,0.16454,2.18119,1.7011,1.66236,0.009505,0.009505,0.009505
7,777.748,1.99572,1.93958,1.51416,0.59,0.53222,0.55458,0.21578,2.06412,1.6264,1.57929,0.009406,0.009406,0.009406
8,889.148,1.96008,1.84177,1.49764,0.5571,0.50736,0.54088,0.21361,2.05139,1.76699,1.595,0.009307,0.009307,0.009307
9,1000.42,1.94056,1.78895,1.489,0.63905,0.57401,0.58049,0.2222,2.0897,1.54249,1.60078,0.009208,0.009208,0.009208
10,1111.75,1.91966,1.76921,1.48288,0.58005,0.56362,0.57437,0.22775,2.04203,1.55477,1.58212,0.009109,0.009109,0.009109
11,1223.1,1.91943,1.72058,1.47769,0.53447,0.52344,0.50471,0.16964,2.22644,1.63456,1.69924,0.00901,0.00901,0.00901
12,1334.53,1.8991,1.67624,1.46206,0.59482,0.59823,0.62275,0.23636,2.04649,1.47055,1.57048,0.008911,0.008911,0.008911
13,1445.95,1.88825,1.64405,1.45389,0.68525,0.62927,0.67263,0.25793,2.04991,1.36005,1.5752,0.008812,0.008812,0.008812
14,1557.45,1.87865,1.60097,1.44535,0.52953,0.49857,0.48182,0.17156,2.23467,1.64196,1.6823,0.008713,0.008713,0.008713
15,1668.8,1.87007,1.60223,1.44107,0.63809,0.59962,0.62558,0.24428,2.01224,1.4292,1.54881,0.008614,0.008614,0.008614
16,1780.16,1.87048,1.57937,1.44826,0.649,0.61626,0.63899,0.25228,2.0063,1.38184,1.54746,0.008515,0.008515,0.008515
17,1891.52,1.85587,1.57293,1.43394,0.70017,0.64859,0.69149,0.27277,1.9943,1.33984,1.54645,0.008416,0.008416,0.008416
18,2002.93,1.84245,1.53701,1.43706,0.69572,0.64683,0.68587,0.27412,2.02329,1.29099,1.56037,0.008317,0.008317,0.008317
19,2114.37,1.85015,1.51249,1.43416,0.76744,0.66827,0.74254,0.30796,1.94603,1.26013,1.51243,0.008218,0.008218,0.008218
20,2225.85,1.82906,1.48704,1.42395,0.69348,0.62941,0.68727,0.27962,1.97376,1.36444,1.53379,0.008119,0.008119,0.008119
21,2337.29,1.82138,1.5004,1.4109,0.6545,0.56771,0.61386,0.23965,2.07798,1.41305,1.58084,0.00802,0.00802,0.00802
22,2448.65,1.83721,1.46903,1.42682,0.61609,0.61041,0.61476,0.22961,2.09386,1.40208,1.5899,0.007921,0.007921,0.007921
23,2560.03,1.81759,1.47037,1.41464,0.70504,0.71373,0.73963,0.31236,1.95398,1.25752,1.51384,0.007822,0.007822,0.007822
24,2671.46,1.81726,1.46558,1.40983,0.71993,0.64258,0.70822,0.30421,1.90243,1.33763,1.48983,0.007723,0.007723,0.007723
25,2782.85,1.79601,1.44052,1.40291,0.76867,0.68037,0.74218,0.31342,1.91493,1.25873,1.4869,0.007624,0.007624,0.007624
26,2894.26,1.79658,1.41815,1.39753,0.79298,0.67837,0.75848,0.30389,1.98316,1.2234,1.51625,0.007525,0.007525,0.007525
27,3005.75,1.79727,1.41855,1.3937,0.78332,0.70168,0.75158,0.30746,1.93843,1.23848,1.50521,0.007426,0.007426,0.007426
28,3117.08,1.8042,1.3896,1.40085,0.76586,0.72918,0.7709,0.32291,1.92875,1.20155,1.48755,0.007327,0.007327,0.007327
29,3228.6,1.78518,1.37346,1.3921,0.78904,0.69948,0.7648,0.32486,1.93124,1.20629,1.49357,0.007228,0.007228,0.007228
30,3340.02,1.78945,1.37952,1.38739,0.78214,0.72004,0.78235,0.32281,1.92338,1.19953,1.48809,0.007129,0.007129,0.007129
31,3451.4,1.78735,1.35393,1.39055,0.80652,0.74125,0.8001,0.3338,1.91778,1.16339,1.4857,0.00703,0.00703,0.00703
32,3562.84,1.78598,1.34906,1.38484,0.8027,0.71632,0.78392,0.33416,1.92076,1.18603,1.48367,0.006931,0.006931,0.006931
33,3674.28,1.78088,1.33929,1.38442,0.77328,0.73911,0.78404,0.33078,1.913,1.19721,1.48199,0.006832,0.006832,0.006832
34,3785.7,1.76688,1.32568,1.37832,0.78199,0.72295,0.79364,0.33396,1.90495,1.20523,1.48392,0.006733,0.006733,0.006733
35,3897.17,1.76711,1.30683,1.38218,0.83079,0.72505,0.80768,0.34134,1.91318,1.14867,1.48563,0.006634,0.006634,0.006634
36,4008.54,1.76777,1.3191,1.37087,0.83065,0.73219,0.80415,0.34572,1.90506,1.15085,1.48418,0.006535,0.006535,0.006535
37,4120.04,1.75129,1.30223,1.37118,0.80666,0.75335,0.80199,0.34003,1.92107,1.14418,1.48373,0.006436,0.006436,0.006436
38,4231.51,1.7636,1.3182,1.37342,0.83799,0.74737,0.81981,0.35055,1.90959,1.12476,1.47424,0.006337,0.006337,0.006337
39,4342.94,1.75918,1.31178,1.38133,0.83997,0.76916,0.83661,0.35554,1.91213,1.106,1.47885,0.006238,0.006238,0.006238
40,4454.39,1.77142,1.28091,1.3781,0.83982,0.77962,0.83175,0.35209,1.91971,1.08339,1.47326,0.006139,0.006139,0.006139
41,4565.75,1.75377,1.2668,1.36392,0.82889,0.75237,0.81778,0.34968,1.89829,1.11901,1.46613,0.00604,0.00604,0.00604
42,4677.17,1.7461,1.27565,1.36282,0.81981,0.74713,0.81464,0.35112,1.89255,1.1189,1.45389,0.005941,0.005941,0.005941
43,4788.48,1.74443,1.2672,1.35804,0.82967,0.76763,0.81563,0.35373,1.88757,1.11167,1.46366,0.005842,0.005842,0.005842
44,4899.87,1.73422,1.26297,1.35435,0.84675,0.77416,0.8257,0.34973,1.89673,1.11307,1.46583,0.005743,0.005743,0.005743
45,5011.26,1.75273,1.26352,1.36624,0.82599,0.76373,0.82497,0.35828,1.90567,1.0867,1.47043,0.005644,0.005644,0.005644
46,5122.73,1.73242,1.24534,1.34705,0.82398,0.77006,0.8212,0.35166,1.91802,1.12093,1.47619,0.005545,0.005545,0.005545
47,5234.12,1.74554,1.23913,1.36145,0.85477,0.78217,0.83947,0.35821,1.88626,1.07758,1.46002,0.005446,0.005446,0.005446
48,5345.49,1.73866,1.2193,1.35632,0.84895,0.78045,0.84067,0.36847,1.88665,1.07026,1.45817,0.005347,0.005347,0.005347
49,5456.94,1.73359,1.21588,1.35384,0.8423,0.7654,0.83287,0.35731,1.90842,1.07601,1.47209,0.005248,0.005248,0.005248
