                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1105,                0.68775,                 1.1047,                0.83228,                0.77086,                0.82421,                0.35459,                 2.0025,                0.95725,                 1.7403,             0.00097736,             0.00097736,             0.00097736
                     36,                 1.1014,                0.68411,                 1.1064,                0.81635,                0.78951,                0.82619,                 0.3461,                 2.0314,                0.99965,                 1.7782,             0.00096974,             0.00096974,             0.00096974
                     37,                 1.0732,                0.65803,                  1.084,                0.79313,                0.80226,                0.82387,                0.35086,                  2.011,                0.96714,                   1.71,             0.00096195,             0.00096195,             0.00096195
                     38,                 1.0485,                0.65622,                 1.0794,                0.77175,                0.76332,                0.78728,                0.34028,                 2.0316,                  1.031,                 1.7204,             0.00095398,             0.00095398,             0.00095398
                     39,                 1.0252,                0.64094,                  1.068,                0.76494,                0.76437,                0.79724,                0.33808,                 2.0162,                  1.023,                 1.7433,             0.00094583,             0.00094583,             0.00094583
                     40,                 1.0328,                0.64327,                 1.0675,                0.82479,                0.81428,                0.83968,                0.35645,                 2.0168,                0.92711,                 1.7218,             0.00093752,             0.00093752,             0.00093752
                     41,                 1.0067,                0.61891,                 1.0587,                 0.7883,                0.81075,                 0.8313,                0.35536,                 2.0172,                0.92276,                 1.7582,             0.00092904,             0.00092904,             0.00092904
                     42,                 1.0073,                0.63145,                 1.0624,                0.83704,                0.78162,                0.83696,                0.35969,                 2.0168,                0.97141,                 1.7295,              0.0009204,              0.0009204,              0.0009204
                     43,                0.98529,                  0.612,                 1.0484,                0.85584,                0.79802,                0.85192,                0.36529,                 1.9899,                0.92659,                 1.7063,              0.0009116,              0.0009116,              0.0009116
                     44,                  0.981,                0.60681,                  1.043,                0.80044,                0.80273,                0.82631,                0.35559,                 2.0114,                0.94744,                 1.7341,             0.00090265,             0.00090265,             0.00090265
                     45,                0.98483,                0.61761,                 1.0534,                  0.817,                0.80168,                0.84393,                 0.3582,                 2.0295,                 0.9746,                 1.7573,             0.00089355,             0.00089355,             0.00089355
                     46,                0.97331,                0.59821,                 1.0437,                0.85859,                0.78897,                0.85387,                0.36431,                 2.0029,                0.92682,                 1.7189,              0.0008843,              0.0008843,              0.0008843
